[2026-04-29T04:01:36] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=20.32 | stddev=11.48 | samples=100
[2026-04-29T04:04:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=1
[2026-04-29T04:05:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=2
[2026-04-29T04:06:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=3
[2026-04-29T04:07:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=4
[2026-04-29T04:08:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=6
[2026-04-29T04:09:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=7
[2026-04-29T04:10:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=9
[2026-04-29T04:11:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=2.40 | stddev=1.36 | samples=10
[2026-04-29T04:12:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=2.45 | stddev=1.30 | samples=12
[2026-04-29T04:13:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=6.45 | stddev=6.96 | samples=52
[2026-04-29T04:14:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=10.30 | stddev=8.20 | samples=110
[2026-04-29T04:15:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=10.30 | stddev=8.20 | samples=137
[2026-04-29T04:16:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=7.54 | stddev=7.53 | samples=138
[2026-04-29T04:17:50] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=7.51 | stddev=7.52 | samples=140
[2026-04-29T04:19:21] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=2
[2026-04-29T04:20:21] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=3
[2026-04-29T04:21:21] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=4
[2026-04-29T04:22:21] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=7
[2026-04-29T04:23:59] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=2
[2026-04-29T04:24:59] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=3
[2026-04-29T04:26:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=0.10 | stddev=0.10 | samples=1
[2026-04-29T04:27:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=0.10 | stddev=0.10 | samples=3
[2026-04-29T04:28:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=52.00 | stddev=85.45 | samples=5
[2026-04-29T04:29:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=35.17 | stddev=73.72 | samples=6
[2026-04-29T04:30:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=30.57 | stddev=69.17 | samples=7
[2026-04-29T04:31:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=30.57 | stddev=69.17 | samples=9
[2026-04-29T04:32:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=22.00 | stddev=59.34 | samples=11
[2026-04-29T04:33:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=17.38 | stddev=52.72 | samples=13
[2026-04-29T04:34:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=14.44 | stddev=47.92 | samples=16
[2026-04-29T04:35:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=12.94 | stddev=45.37 | samples=18
[2026-04-29T04:36:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=12.94 | stddev=45.37 | samples=19
[2026-04-29T04:37:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=11.90 | stddev=43.16 | samples=33
[2026-04-29T04:38:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=15.11 | stddev=23.38 | samples=89
[2026-04-29T04:39:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=15.11 | stddev=23.38 | samples=123
[2026-04-29T04:40:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=10.07 | stddev=19.23 | samples=124
[2026-04-29T04:41:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=10.07 | stddev=19.23 | samples=125
[2026-04-29T04:42:46] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.96 | stddev=19.10 | samples=127
[2026-04-29T04:44:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=0.10 | stddev=0.10 | samples=1
[2026-04-29T04:45:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=0.10 | stddev=0.10 | samples=3
[2026-04-29T04:46:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=18.17 | stddev=38.93 | samples=62
[2026-04-29T04:47:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=13.17 | stddev=22.31 | samples=121
[2026-04-29T04:48:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.74 | stddev=18.95 | samples=125
[2026-04-29T04:49:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.74 | stddev=18.95 | samples=126
[2026-04-29T04:50:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.61 | stddev=18.83 | samples=128
[2026-04-29T04:51:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.49 | stddev=18.71 | samples=129
[2026-04-29T04:52:05] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.44 | stddev=18.64 | samples=130
[2026-04-29T04:52:43] BAN ip=102.89.40.38 | condition=zscore | rate=1 | baseline=0.10 | duration=600s
[2026-04-29T04:53:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=0.10 | stddev=0.10 | samples=1
[2026-04-29T04:54:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=0.10 | stddev=0.10 | samples=39
[2026-04-29T04:55:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=15.63 | stddev=24.59 | samples=98
[2026-04-29T04:56:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=10.25 | stddev=18.76 | samples=118
[2026-04-29T04:57:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=10.11 | stddev=18.63 | samples=121
[2026-04-29T04:58:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.98 | stddev=18.50 | samples=122
